,tag,count,class,tsne_0,tsne_1,tsne_2
49,vba,95624,Stack Overflow,-30.214674,-79.95684,-63.595066
50,oracle,94711,Stack Overflow,78.86552,129.58012,34.54194
53,forms,87790,Stack Overflow,-32.30202,23.897701,-106.35665
54,image,86564,Stack Overflow,-86.779945,90.63702,71.35605
55,macos,84079,Stack Overflow,-54.929214,43.588863,54.176964
56,algorithm,83030,Stack Overflow,112.16243,50.606514,26.946856
58,facebook,81831,Stack Overflow,82.38367,40.922955,67.37178
59,postgresql,81640,Stack Overflow,78.933426,-44.556705,109.49951
61,winforms,78825,Stack Overflow,70.45184,132.22409,-37.008957
62,apache,78819,Stack Overflow,3.3965974,83.91534,39.54007
63,matlab,77620,Stack Overflow,-4.3895288,88.47992,78.524635
65,scala,76630,Stack Overflow,-24.131506,-119.96471,2.0941286
66,performance,75567,Stack Overflow,-84.36609,-3.817877,-50.914455
68,excel-vba,74273,Stack Overflow,-6.214305,2.212857,48.851906
69,list,73745,Stack Overflow,150.16566,59.404015,48.85933
71,css3,71831,Stack Overflow,116.05743,-53.70292,34.062283
72,hibernate,69873,Stack Overflow,18.939938,-132.61415,50.176563
73,swing,69635,Stack Overflow,-5.0219493,22.787142,15.0174
74,linq,68578,Stack Overflow,31.053083,-136.70981,-37.919994
75,qt,64321,Stack Overflow,-129.5515,-71.79212,-63.404606
76,function,64164,Stack Overflow,47.848633,32.487698,-49.95268
77,pandas,63644,Stack Overflow,-104.04744,94.03327,-77.40186
78,shell,62330,Stack Overflow,-66.05225,101.00939,-100.09063
79,rest,61935,Stack Overflow,-95.05187,-36.402805,-73.3761
81,sqlite,60133,Stack Overflow,-27.312582,75.43376,13.813205
82,maven,59621,Stack Overflow,23.7346,-34.3327,-8.120251
83,api,59348,Stack Overflow,10.543092,81.35591,5.3973036
84,perl,58939,Stack Overflow,-24.185863,90.24247,49.312916
86,web-services,57875,Stack Overflow,-35.461918,117.654816,35.923836
87,file,57654,Stack Overflow,53.734028,-143.26389,27.612774
88,google-maps,56228,Stack Overflow,-53.399708,-93.57477,-0.86102027
91,cordova,55829,Stack Overflow,-45.55194,-3.8145964,-77.86973
92,symfony,55777,Stack Overflow,116.43174,-33.245773,-107.80017
96,loops,53424,Stack Overflow,93.25244,15.524485,45.947945
97,azure,53378,Stack Overflow,31.206017,38.937363,-113.737816
98,class,53131,Stack Overflow,35.909653,-4.730207,7.7473598
99,csv,53062,Stack Overflow,71.713394,-80.07177,53.784355
100,validation,52353,Stack Overflow,-0.71497524,155.61014,43.197918
102,sockets,51618,Stack Overflow,13.184531,103.35383,-83.97818
104,sorting,50425,Stack Overflow,-31.287392,20.883064,-6.3939347
107,selenium,49427,Stack Overflow,61.12058,10.386669,-138.20938
109,typescript,48869,Stack Overflow,-17.1796,15.650277,97.91213
110,wcf,48317,Stack Overflow,-54.902,-123.8807,-24.693981
112,email,47305,Stack Overflow,-104.81378,9.473218,-84.34186
113,jsp,47267,Stack Overflow,15.147688,-29.075703,94.78318
114,http,46851,Stack Overflow,16.632217,138.19775,18.919315
121,security,44117,Stack Overflow,33.38193,-25.287561,-90.62498
122,oop,43958,Stack Overflow,53.443546,38.65664,1.8166707
123,opencv,43184,Stack Overflow,-17.389116,72.294464,149.6868
124,parsing,42705,Stack Overflow,118.18688,-103.86248,-5.153344
125,c++11,42413,Stack Overflow,-57.540417,43.064198,-5.3957057
126,user-interface,42331,Stack Overflow,67.329155,78.796745,54.433784
127,datetime,42330,Stack Overflow,-59.62445,-93.591515,28.38375
129,delphi,41117,Stack Overflow,-9.563472,38.979366,-53.540287
133,express,40309,Stack Overflow,-67.11098,-91.984566,-36.314953
134,ubuntu,39972,Stack Overflow,-111.44726,18.61454,69.77117
135,templates,39165,Stack Overflow,15.75294,59.629986,94.570465
136,pointers,39104,Stack Overflow,-17.581226,53.777737,94.05616
138,object,38565,Stack Overflow,-75.17201,104.13739,93.54762
139,debugging,38511,Stack Overflow,35.345432,84.60117,50.31921
140,dictionary,38346,Stack Overflow,40.65782,105.80264,107.06789
141,variables,38244,Stack Overflow,-83.375694,21.275003,19.00863
142,session,38120,Stack Overflow,-77.70791,24.326536,70.573784
144,unix,37845,Stack Overflow,82.85538,-90.825645,69.878136
145,ms-access,37577,Stack Overflow,-12.93437,-53.49867,-45.012035
146,cocoa,37349,Stack Overflow,14.793083,-58.466553,-121.609825
147,hadoop,37277,Stack Overflow,-117.41139,-39.945095,-1.1735021
152,haskell,36332,Stack Overflow,-74.769104,-15.943584,-95.72796
155,authentication,35684,Stack Overflow,15.067442,89.95637,-35.980347
156,pdf,35678,Stack Overflow,79.02204,118.289024,-2.3440418
157,tomcat,35615,Stack Overflow,-194.5644,-195.0321,17.25356
159,docker,35417,Stack Overflow,50.571606,19.364975,-93.63977
160,flash,35261,Stack Overflow,-95.52337,114.70872,33.384693
161,ssl,34433,Stack Overflow,-4.5077567,82.10394,-23.372097
162,ipad,34324,Stack Overflow,153.75586,-16.41583,26.034357
164,jpa,33577,Stack Overflow,-48.25731,14.324813,20.944315
165,generics,33474,Stack Overflow,-66.579575,-40.161236,13.423816
166,jsf,33297,Stack Overflow,-160.57616,0.25902084,37.01162
167,url,33225,Stack Overflow,-10.651624,114.6399,15.98787
168,animation,33166,Stack Overflow,70.89046,70.06749,-3.5593545
170,firefox,32486,Stack Overflow,-64.66936,120.31338,9.863477
172,redirect,32184,Stack Overflow,-41.884018,-62.167114,-34.430542
173,curl,31410,Stack Overflow,53.386726,-190.7767,96.67561
175,unity3d,31113,Stack Overflow,-74.183014,68.076126,-31.284523
177,asynchronous,30950,Stack Overflow,4.49029,135.69583,-89.14798
178,inheritance,30859,Stack Overflow,-78.83218,63.33848,-81.18719
180,exception,30492,Stack Overflow,-82.338974,-77.530655,86.45228
181,testing,30456,Stack Overflow,111.9279,16.758434,17.129246
182,events,30167,Stack Overflow,115.73224,-17.600866,110.62864
183,opengl,30165,Stack Overflow,65.72993,30.149696,99.35362
184,xslt,29978,Stack Overflow,27.119198,81.11189,82.28334
185,nginx,29962,Stack Overflow,-7.0360055,27.26869,65.70806
186,caching,29941,Stack Overflow,-69.786224,103.29485,-24.26723
188,servlets,29673,Stack Overflow,-9.038916,54.52224,30.892504
189,post,29664,Stack Overflow,62.934696,-3.5510764,40.09331
190,math,29532,Stack Overflow,-133.94313,-22.9078,-35.06765
191,dom,29432,Stack Overflow,-40.947594,24.239733,79.74677
194,iis,29341,Stack Overflow,-7.059942,131.20067,-44.342552
195,select,29314,Stack Overflow,-73.949036,-74.2353,-52.366142
197,join,29173,Stack Overflow,72.635826,66.29809,129.73395
198,button,29122,Stack Overflow,35.179455,52.609825,138.59462
200,recursion,29002,Stack Overflow,65.16073,26.49491,-35.03251
201,search,28800,Stack Overflow,72.85385,95.178764,-35.590626
202,gcc,28687,Stack Overflow,-76.98866,-129.68422,-67.470345
203,go,28231,Stack Overflow,-66.16276,-64.21608,-22.272919
206,jenkins,27847,Stack Overflow,13.192701,25.79995,-53.767662
0,macroeconomics,1238,Economics,-87.637184,36.172478,-24.110819
1,microeconomics,1029,Economics,-77.83959,21.8872,-17.585466
0,cognitive-psychology,925,Psychology & Neuroscience,105.89795,65.45133,62.988327
1,social-psychology,581,Psychology & Neuroscience,-64.15595,2.4533548,116.25798
2,neuroscience,534,Psychology & Neuroscience,-95.40376,-8.7256565,94.48656
2,econometrics,456,Economics,44.827938,-4.912482,-24.95566
3,cognitive-neuroscience,350,Psychology & Neuroscience,-3.609116,-60.46118,45.20281
4,perception,347,Psychology & Neuroscience,-92.3709,-24.680885,131.79926
5,emotion,306,Psychology & Neuroscience,-63.879707,-130.30602,73.40624
6,learning,292,Psychology & Neuroscience,-75.1269,-11.393066,-2.1865895
5,game-theory,288,Economics,-34.80425,57.2046,-59.5786
7,memory,278,Psychology & Neuroscience,19.497404,-49.83058,66.85143
8,measurement,275,Psychology & Neuroscience,92.09289,98.61246,-74.903015
10,personality,262,Psychology & Neuroscience,-37.328167,-125.08892,39.03788
6,utility,246,Economics,-2.6616056,20.942776,-126.44529
12,terminology,218,Psychology & Neuroscience,68.57086,48.4518,33.46994
13,methodology,217,Psychology & Neuroscience,15.109643,52.19002,57.263687
7,inflation,216,Economics,58.21238,-99.255165,-46.152355
8,supply-and-demand,215,Economics,-70.27382,20.928825,-101.63856
16,vision,199,Psychology & Neuroscience,-55.237427,77.344604,70.46087
10,gdp,192,Economics,60.78802,-105.99721,-72.75394
11,consumer-theory,187,Economics,30.944952,-84.56082,-0.6910444
12,finance,181,Economics,119.54614,113.61415,3.433092
17,intelligence,180,Psychology & Neuroscience,-64.57178,49.72539,-138.91028
13,currency,179,Economics,-78.30482,-84.09187,-88.57942
14,monetary-policy,178,Economics,20.620625,-94.42987,-40.665398
16,economic-growth,170,Economics,-21.55135,-96.360886,-33.808395
15,interest-rate,170,Economics,26.78308,-22.558687,165.79886
19,motivation,160,Psychology & Neuroscience,-131.31317,70.45485,63.81728
17,international-trade,158,Economics,3.9760902,-76.165276,-12.46067
19,elasticity,130,Economics,-31.00671,-55.059944,-142.99197
20,taxation,127,Economics,-4.146311,-94.740685,-126.06126
21,stock-market,124,Economics,-26.524332,143.29396,1.7607155
22,banking,123,Economics,145.64114,39.86534,-46.545815
24,money-supply,120,Economics,39.415615,89.799484,-59.364025
22,eeg,119,Psychology & Neuroscience,13.988716,1.9420271,101.24534
25,preferences,119,Economics,-95.83185,-46.60884,27.27381
23,decision-making,116,Psychology & Neuroscience,7.5497074,55.240875,-38.16914
26,production-function,113,Economics,-103.54948,50.6268,3.3579412
24,sleep,113,Psychology & Neuroscience,-149.8606,-49.276188,37.893143
25,consciousness,113,Psychology & Neuroscience,-26.06869,78.262215,-131.53119
26,clinical-psychology,112,Psychology & Neuroscience,-53.94992,-30.024862,-26.902864
27,bias,111,Psychology & Neuroscience,-16.560776,8.2387495,-72.89094
28,neural-network,110,Psychology & Neuroscience,69.9511,-18.433453,-117.68621
29,language,107,Psychology & Neuroscience,56.673668,110.5282,75.57752
30,statistics,104,Psychology & Neuroscience,57.333794,155.71802,13.242018
28,general-equilibrium,104,Economics,15.458477,-119.803345,14.772511
31,test,101,Psychology & Neuroscience,90.65078,12.592996,15.680444
29,statistics,97,Economics,-78.004745,-72.99717,10.143871
32,dreams,96,Psychology & Neuroscience,-125.11356,58.15167,-48.712353
33,performance,94,Psychology & Neuroscience,-33.576694,43.487602,-26.683191
30,time-series,94,Economics,124.448364,-36.359978,-22.928194
31,international-economics,93,Economics,82.51853,-68.21271,21.935253
34,neurophysiology,92,Psychology & Neuroscience,98.83638,56.511543,-59.361187
32,central-banking,92,Economics,-37.710644,-35.181034,-71.367004
34,investment,90,Economics,124.753555,-16.060759,154.39105
35,psychiatry,86,Psychology & Neuroscience,-60.304333,-9.31144,84.40592
36,money,84,Economics,-31.93313,-67.38773,153.53514
37,regression,81,Economics,112.238594,-65.766136,-8.823655
36,neuroimaging,81,Psychology & Neuroscience,13.6819935,-17.537321,131.27185
38,debt,81,Economics,-56.343708,-68.61449,-90.82625
38,psychology,78,Psychology & Neuroscience,103.94094,25.9117,-44.64768
40,optimization,78,Economics,152.28638,59.54076,-1.0036533
41,attention,75,Psychology & Neuroscience,-50.52496,59.591633,95.115524
42,sexuality,74,Psychology & Neuroscience,-125.1395,-89.27504,54.09842
43,depression,72,Psychology & Neuroscience,-45.078274,-82.95192,79.93692
43,monopoly,72,Economics,-52.187958,133.25232,-33.539
44,markets,72,Economics,89.69222,-49.688343,-135.3627
45,asset-pricing,71,Economics,38.324474,153.20572,62.950443
45,neuroanatomy,67,Psychology & Neuroscience,-45.514374,5.2588496,-133.26201
46,unemployment,67,Economics,83.76644,-108.03723,-28.974672
44,behaviorism,67,Psychology & Neuroscience,63.60453,62.87604,-51.022034
47,behavioral-economics,66,Economics,-26.150871,-85.641884,13.39566
46,sensation,65,Psychology & Neuroscience,10.945276,-85.275795,75.24103
48,inequality,64,Economics,165.47789,2.8411124,-18.832798
48,evolution,63,Psychology & Neuroscience,132.38744,-26.077227,-78.8071
47,behavior,63,Psychology & Neuroscience,-103.84615,-29.708048,28.717207
49,nash-equilibrium,62,Economics,-3.9878395,65.52967,-75.681595
50,self-study,61,Economics,140.16382,12.750518,65.54281
51,decision-theory,58,Economics,71.75716,-20.615969,80.455574
49,fmri,57,Psychology & Neuroscience,31.3274,-5.0681562,111.93068
50,physiology,57,Psychology & Neuroscience,-69.67871,12.7627735,154.38564
52,expected-utility,57,Economics,-103.87616,98.294975,-7.2894163
53,price,57,Economics,-56.37019,8.338632,-50.739147
56,cost,56,Economics,107.19532,-108.76512,36.51278
55,pareto-efficiency,56,Economics,-29.609852,67.16589,121.32022
51,motor,55,Psychology & Neuroscience,49.09216,-75.39894,87.30403
57,wages,55,Economics,79.367035,139.55592,73.54084
52,working-memory,53,Psychology & Neuroscience,38.152855,-63.264465,63.0153
53,communication,53,Psychology & Neuroscience,35.713337,62.575428,-26.392223
58,bonds,53,Economics,-38.29233,32.154232,139.2573
54,well-being,51,Psychology & Neuroscience,-62.606426,-147.878,19.88441
59,competition,51,Economics,16.044697,-115.12896,-81.028366
55,reading,50,Psychology & Neuroscience,-139.65561,-37.386673,-31.396921
56,iq,50,Psychology & Neuroscience,44.492073,-44.712654,114.43971
60,auctions,49,Economics,82.16194,-70.29626,-107.39937
63,corporate-finance,48,Economics,-110.89352,15.90884,-39.73351
62,political-economy,48,Economics,90.639046,-41.559418,-58.70972
65,risk,47,Economics,85.05404,0.76041067,-25.344164
64,theory,47,Economics,16.126804,41.502827,-7.053111
57,animal-cognition,47,Psychology & Neuroscience,48.004955,7.3453827,66.98892
58,linguistics,47,Psychology & Neuroscience,-40.820835,58.189407,-98.927704
59,stress,47,Psychology & Neuroscience,-5.676913,-88.926094,100.44902
66,value,47,Economics,-58.644024,158.56877,20.732588
60,brain-training,46,Psychology & Neuroscience,-92.92791,-3.9104073,47.363644
61,software,46,Psychology & Neuroscience,-13.526713,-133.48619,-57.57224
62,problem-solving,46,Psychology & Neuroscience,113.11681,83.79905,21.90838
63,long-term-memory,46,Psychology & Neuroscience,-37.615845,-32.5231,36.999355
64,psychopharmacology,45,Psychology & Neuroscience,117.070984,29.109322,-81.73391
68,competitive-equilibrium,44,Economics,-19.354633,-49.349785,18.767094
69,productivity,44,Economics,-21.06713,-121.14813,-101.351326
67,government,44,Economics,129.43877,8.64068,-16.164928
70,fiscal-policy,44,Economics,117.41245,-13.518132,33.346004
71,consumption,43,Economics,-26.710346,120.628716,-112.93392
67,music,42,Psychology & Neuroscience,79.08535,57.269886,-18.301943
66,psychophysics,42,Psychology & Neuroscience,130.06372,-25.906015,70.604805
72,pricing,41,Economics,84.25816,-44.872086,-94.834
68,artificial-intelligence,40,Psychology & Neuroscience,4.5080094,-26.038183,11.564647
69,hearing,39,Psychology & Neuroscience,-104.52781,-7.972551,-17.431284
70,brain,39,Psychology & Neuroscience,-102.05072,-110.11384,2.767079
73,creativity,38,Psychology & Neuroscience,6.8096566,-23.99133,-32.776707
71,conditioning,38,Psychology & Neuroscience,129.23956,-78.350266,65.077866
72,neurology,38,Psychology & Neuroscience,-16.021627,-27.323046,152.93036
82,probability,37,Economics,91.27607,-86.615906,108.78895
81,history,37,Economics,-104.498726,75.32533,34.59447
80,housing,37,Economics,-12.7304325,-4.822049,-105.19934
79,social-welfare,37,Economics,33.1513,-83.5222,-96.93168
78,price-level,37,Economics,55.27304,-53.449665,-75.65521
76,addiction,36,Psychology & Neuroscience,-74.795815,-32.05102,55.28732
84,terminology,36,Economics,55.443123,38.476063,41.01356
75,data,36,Psychology & Neuroscience,-38.459137,45.69952,19.084894
82,color,35,Psychology & Neuroscience,64.01443,305.09314,-259.46426
81,internet,35,Psychology & Neuroscience,121.31161,46.468746,-13.753932
80,adhd,35,Psychology & Neuroscience,-15.353127,-115.63056,89.57372
79,survey,35,Psychology & Neuroscience,90.07874,-25.267702,50.355915
85,risk-aversion,35,Economics,-3.1039002,41.75232,145.07137
86,commodities,35,Economics,51.448135,-123.004364,76.11109
89,environmental-economics,34,Economics,44.47798,-28.937737,63.34409
83,human-factors,34,Psychology & Neuroscience,30.849451,22.979641,18.632057
87,unconscious,33,Psychology & Neuroscience,-130.88528,-19.997452,63.967712
86,reaction-time,33,Psychology & Neuroscience,-155.50407,-48.37671,-140.84743
84,anxiety,33,Psychology & Neuroscience,-128.08257,-2.163648,28.111229
85,electrophysiology,33,Psychology & Neuroscience,110.9734,69.69859,-45.120735
90,accounting,33,Economics,76.07682,61.37892,-91.111206
88,eye-movement,32,Psychology & Neuroscience,19.22016,-9.852157,69.46255
92,profit-maximization,31,Economics,4.938221,37.20978,-83.9827
93,usa,31,Economics,-104.68705,-23.607883,-116.51658
94,cobb-douglas,31,Economics,83.69321,-46.46047,-21.828764
89,autism,30,Psychology & Neuroscience,1.4979541,-120.927185,102.96217
95,uncertainty,30,Economics,4.7826295,-4.7824154,-63.551704
96,technology,30,Economics,44.247505,76.48306,16.189064
90,consumer-psychology,30,Psychology & Neuroscience,-29.416943,-4.1252923,125.98015
92,signal-detection,29,Psychology & Neuroscience,53.007236,-38.107624,-33.555832
93,schizophrenia,29,Psychology & Neuroscience,7.280107,134.02184,90.790245
96,meditation,29,Psychology & Neuroscience,-93.5541,51.29028,81.57633
91,sex-differences,29,Psychology & Neuroscience,-96.21121,-43.21135,69.83294
94,reinforcement-learning,29,Psychology & Neuroscience,-133.56609,31.024935,-3.7851415
97,externalities,29,Economics,24.18672,-135.75851,-92.052734
98,deflation,29,Economics,33.12793,-14.999242,-123.81697
99,dynamic-programming,29,Economics,96.62821,-51.835285,77.37674
101,price-theory,28,Economics,26.237265,55.389072,-65.3886
100,poverty,28,Economics,57.200317,104.28261,-91.4571
98,audition,28,Psychology & Neuroscience,43.25766,-90.28677,107.764244
99,fear,28,Psychology & Neuroscience,-38.437172,-99.11243,119.11638
100,genetics,28,Psychology & Neuroscience,-49.33039,34.559322,-78.927414
101,time,28,Psychology & Neuroscience,-108.46823,-56.708347,-57.49447
104,paneldata,27,Economics,52.351994,-38.56349,1.7051373
105,stata,27,Economics,-9.260956,101.78054,-56.66212
102,pain,27,Psychology & Neuroscience,-19.630827,-77.13324,103.30268
105,plasticity,26,Psychology & Neuroscience,-42.530403,-46.357906,111.440735
107,balance-of-trade,26,Economics,-7.671057,-21.61031,-138.25812
108,software,26,Economics,10.512351,116.340866,58.775314
103,economics,26,Psychology & Neuroscience,35.054634,18.992937,-19.957588
104,language-processing,26,Psychology & Neuroscience,-146.9599,11.151636,-18.062923
106,dynamic-optimization,26,Economics,-1.4502827,-3.1450667,-8.318818
112,computation,25,Economics,-151.08313,22.54676,-57.64117
114,asymmetric-information,25,Economics,41.094772,0.45739844,-61.46666
110,positive-psychology,25,Psychology & Neuroscience,26.754086,13.170745,44.531834
108,health-psychology,25,Psychology & Neuroscience,145.75111,58.255955,-111.97552
107,gender,25,Psychology & Neuroscience,-134.2274,-95.241394,30.16155
106,visualization,25,Psychology & Neuroscience,-40.146847,128.26152,-69.12448
111,saving,25,Economics,73.818214,45.135864,-137.40523
113,efficient-markets,25,Economics,-41.293327,-49.90936,1.0057526
112,psychoanalysis,24,Psychology & Neuroscience,87.40829,-36.013947,13.120791
111,rationality,24,Psychology & Neuroscience,-6.8724217,49.523483,-6.1842256
116,energy-economics,24,Economics,-33.142307,-5.0629992,49.24924
117,dsge,24,Economics,139.93922,-84.32081,-50.3584
118,business-cycles,24,Economics,-26.802721,-23.273771,-10.0811615
124,marxism,23,Economics,102.59181,-18.518034,2.1217625
118,short-term-memory,23,Psychology & Neuroscience,-43.31733,-39.769062,62.949543
119,social-choice,23,Economics,68.62084,-16.91693,-50.873795
121,foreign-exchange,23,Economics,23.76591,9.719831,-143.45714
122,profits,23,Economics,-52.25169,-105.57796,-105.38764
113,hypnosis,23,Psychology & Neuroscience,36.746357,142.37697,-63.640446
114,speech,23,Psychology & Neuroscience,-110.513565,0.925222,0.7545969
116,mood,23,Psychology & Neuroscience,-134.45552,-15.924014,-72.22542
117,gamification,23,Psychology & Neuroscience,-40.82016,78.58843,-19.957924
125,consumer-surplus,23,Economics,10.958803,-57.776264,102.78458
123,regulation,23,Economics,-64.36669,-38.61556,-57.329266
119,metacognition,22,Psychology & Neuroscience,107.321815,78.71883,-0.5344929
127,minimum-wage,22,Economics,-23.89062,90.38479,-92.58457
120,social-networks,22,Psychology & Neuroscience,-46.996536,-2.8922443,-17.005913
122,nef,22,Psychology & Neuroscience,107.802246,39.05941,96.79955
121,behavioral-economics,22,Psychology & Neuroscience,-26.42661,-78.17638,-5.3278666
123,perceptual-learning,21,Psychology & Neuroscience,-48.313065,-60.996197,35.54846
131,mechanism-design,21,Economics,65.550766,-12.133416,-0.9943084
130,free-trade,21,Economics,21.363031,172.31639,-8.822968
129,firm,21,Economics,13.001762,58.260117,-145.36726
124,personality-disorder,21,Psychology & Neuroscience,-27.793623,-85.438515,45.652596
128,government-spending,21,Economics,-10.0632515,-30.835361,-67.332535
133,law,21,Economics,93.21468,32.209248,-4.5258603
136,search-and-matching,20,Economics,68.47227,-8.065345,109.38148
137,welfare,20,Economics,1.1209977,-26.722832,-104.774895
138,resource-economics,20,Economics,-37.16686,-26.494211,-100.74027
135,national-accounts,20,Economics,21.63876,24.385136,79.8381
129,signal-processing,20,Psychology & Neuroscience,24.242544,53.667973,27.196781
128,hallucinations,20,Psychology & Neuroscience,-115.92424,-57.129597,103.23614
127,hci,20,Psychology & Neuroscience,-105.06916,-104.02499,-42.2835
126,aesthetics,20,Psychology & Neuroscience,-27.572144,28.95941,43.399418
139,portfolio-theory,20,Economics,-42.471478,-134.67259,102.15608
140,development,19,Economics,-25.201918,13.263434,-39.80777
141,steady-state,19,Economics,-89.89648,36.20193,-63.33909
142,marginal,19,Economics,-25.599722,-58.44653,-119.23878
131,lateralization,19,Psychology & Neuroscience,-20.495462,-42.75341,121.28857
130,brain-computer-interface,19,Psychology & Neuroscience,-2.646627,314.33875,-69.78255
132,parenting,19,Psychology & Neuroscience,-95.22167,-111.23975,77.003555
146,micro-data,18,Economics,-30.488028,100.790535,105.808395
135,self,18,Psychology & Neuroscience,113.49315,112.12373,-38.654125
134,aspergers,18,Psychology & Neuroscience,-102.450035,-73.803314,-13.068221
133,sensory-perception,18,Psychology & Neuroscience,53.450413,74.689514,-119.43939
145,solow,18,Economics,106.92952,-73.3737,-73.02138
143,united-states,18,Economics,10.150161,20.321283,127.05752
148,agriculture,17,Economics,16.909197,-59.74788,-139.82722
149,long-run,17,Economics,63.647423,-80.59668,-66.69406
147,oligopoly,17,Economics,73.48197,-104.49763,-109.15981
150,basic-income,17,Economics,9.287114,-4.7604256,27.829498
151,marketing,17,Economics,49.108704,60.0017,-88.37532
152,capital,17,Economics,-14.7770815,-61.504765,-88.069244
144,moral-psychology,17,Psychology & Neuroscience,12.039401,-51.750607,17.076082
142,love,17,Psychology & Neuroscience,-133.71915,-12.996443,98.96426
141,empathy,17,Psychology & Neuroscience,-109.64213,-65.687416,-98.637184
140,sociology,17,Psychology & Neuroscience,-11.749704,53.415115,-108.355736
139,concentration,17,Psychology & Neuroscience,53.963913,-108.21041,35.553535
136,game-theory,17,Psychology & Neuroscience,-29.372578,72.41514,-51.000557
137,thought,17,Psychology & Neuroscience,95.532745,6.344876,79.273346
143,brain-injury,17,Psychology & Neuroscience,-67.69076,-47.188206,-121.57465
138,aging,17,Psychology & Neuroscience,-12.175158,-20.340446,72.484886
157,options-pricing,16,Economics,-8.676373,-47.973507,-12.500402
155,rbc,16,Economics,115.39396,-103.00388,-56.076946
148,nature-nurture,16,Psychology & Neuroscience,-61.58198,-12.491624,27.699076
147,feeding,16,Psychology & Neuroscience,-30.555815,-153.64922,-27.826183
146,jung,16,Psychology & Neuroscience,-111.35589,36.274826,41.392784
145,training,16,Psychology & Neuroscience,126.120895,28.857216,58.202633
151,self-control,16,Psychology & Neuroscience,50.191204,-57.142494,27.331459
156,repeated-games,16,Economics,-26.38116,-22.377111,-39.054363
152,correlation,16,Psychology & Neuroscience,31.77435,-72.96252,-59.49563
158,optimal-control,16,Economics,6.6566625,9.18587,-29.101841
159,continuous-time,16,Economics,70.26847,-10.565294,-87.86942
160,research,16,Economics,-59.988575,41.2024,-45.307278
161,labor-cost,16,Economics,18.942644,-56.45252,-32.51753
162,oil,16,Economics,15.920036,-55.68398,-97.59728
163,instrumental-variable,16,Economics,111.16422,-21.169338,-37.029255
159,attitudes,15,Psychology & Neuroscience,-112.504234,-63.429295,30.064226
158,cognitive-development,15,Psychology & Neuroscience,19.830784,6.5034037,-90.293594
154,political-psychology,15,Psychology & Neuroscience,-30.519361,-16.180805,92.29906
155,video-games,15,Psychology & Neuroscience,98.265175,9.173418,-111.70164
156,dopamine,15,Psychology & Neuroscience,-69.47402,-44.012573,96.63912
