,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
110,wcf,48317,Stack Overflow,3.1353588,1.1979011999999998,Computer Science,blue,86,1.8088888888888888,0.8471111111111111
112,email,47305,Stack Overflow,17.888865,-17.988329999999998,Computer Science,blue,87,1.8066666666666666,0.8453333333333335
113,jsp,47267,Stack Overflow,11.215423,-11.990287,Computer Science,blue,88,1.8044444444444445,0.8435555555555556
114,http,46851,Stack Overflow,14.363017000000001,-11.559385,Computer Science,blue,89,1.8022222222222222,0.8417777777777777
121,security,44117,Stack Overflow,-7.2646966,-2.096088,Computer Science,blue,90,1.8,0.8400000000000001
122,oop,43958,Stack Overflow,8.345797,-6.8185754,Computer Science,blue,91,1.7977777777777777,0.8382222222222222
123,opencv,43184,Stack Overflow,6.356158,-9.198163000000001,Computer Science,blue,92,1.7955555555555556,0.8364444444444445
124,parsing,42705,Stack Overflow,6.180751,-1.4952164,Computer Science,blue,93,1.7933333333333334,0.8346666666666667
125,c++11,42413,Stack Overflow,-1.3223973999999998,1.0725192,Computer Science,blue,94,1.791111111111111,0.832888888888889
126,user-interface,42331,Stack Overflow,8.707798,-8.995632,Computer Science,blue,95,1.7888888888888888,0.8311111111111111
127,datetime,42330,Stack Overflow,-1.9105830000000001,3.1065862,Computer Science,blue,96,1.7866666666666666,0.8293333333333333
129,delphi,41117,Stack Overflow,9.891427,-2.5389822,Computer Science,blue,97,1.7844444444444445,0.8275555555555556
133,express,40309,Stack Overflow,-2.880975,12.147721,Computer Science,blue,98,1.7822222222222224,0.8257777777777779
134,ubuntu,39972,Stack Overflow,-5.1990047,-5.21718,Computer Science,blue,99,1.78,0.8240000000000001
135,templates,39165,Stack Overflow,7.5856895,-12.620303,Computer Science,blue,100,1.7777777777777777,0.8222222222222222
136,pointers,39104,Stack Overflow,5.3133345,-8.457856,Computer Science,blue,101,1.7755555555555556,0.8204444444444445
138,object,38565,Stack Overflow,0.45983395,-17.294283,Computer Science,blue,102,1.7733333333333334,0.8186666666666667
139,debugging,38511,Stack Overflow,11.109134,-8.868502000000001,Computer Science,blue,103,1.771111111111111,0.816888888888889
140,dictionary,38346,Stack Overflow,15.419525,-13.933247,Computer Science,blue,104,1.7688888888888887,0.8151111111111111
141,variables,38244,Stack Overflow,4.63755,9.303586,Computer Science,blue,105,1.7666666666666666,0.8133333333333332
142,session,38120,Stack Overflow,-1.6019851,-9.278862,Computer Science,blue,106,1.7644444444444445,0.8115555555555556
144,unix,37845,Stack Overflow,10.1327715,-9.545852,Computer Science,blue,107,1.7622222222222224,0.8097777777777779
145,ms-access,37577,Stack Overflow,-2.5982053,6.564222,Computer Science,blue,108,1.76,0.808
146,cocoa,37349,Stack Overflow,-17.487886,10.991487,Computer Science,blue,109,1.7577777777777777,0.8062222222222222
147,hadoop,37277,Stack Overflow,10.93406,-11.942183,Computer Science,blue,110,1.7555555555555555,0.8044444444444445
152,haskell,36332,Stack Overflow,0.112034895,-2.0056896,Computer Science,blue,111,1.7533333333333334,0.8026666666666666
155,authentication,35684,Stack Overflow,12.324352000000001,-10.120878999999999,Computer Science,blue,112,1.751111111111111,0.800888888888889
156,pdf,35678,Stack Overflow,16.090904000000002,-14.943439000000001,Computer Science,blue,113,1.748888888888889,0.7991111111111111
157,tomcat,35615,Stack Overflow,6.489662,-7.811605999999999,Computer Science,blue,114,1.7466666666666666,0.7973333333333334
159,docker,35417,Stack Overflow,-0.9473779,0.036706522000000005,Computer Science,blue,115,1.7444444444444445,0.7955555555555556
160,flash,35261,Stack Overflow,6.185348,-11.364897000000001,Computer Science,blue,116,1.7422222222222223,0.7937777777777777
161,ssl,34433,Stack Overflow,11.995219,-10.498621,Computer Science,blue,117,1.74,0.792
162,ipad,34324,Stack Overflow,14.836658499999999,-18.809614,Computer Science,blue,118,1.7377777777777776,0.7902222222222224
164,jpa,33577,Stack Overflow,1.2487257,0.6984526999999999,Computer Science,blue,119,1.7355555555555555,0.7884444444444445
165,generics,33474,Stack Overflow,-6.592656599999999,5.7137427,Computer Science,blue,120,1.7333333333333334,0.7866666666666666
166,jsf,33297,Stack Overflow,6.693147,-5.029542,Computer Science,blue,121,1.7311111111111113,0.784888888888889
167,url,33225,Stack Overflow,14.967401500000001,-13.12845,Computer Science,blue,122,1.728888888888889,0.7831111111111111
168,animation,33166,Stack Overflow,7.149422,-15.069739000000002,Computer Science,blue,123,1.7266666666666666,0.7813333333333334
170,firefox,32486,Stack Overflow,7.0935690000000005,-9.345072,Computer Science,blue,124,1.7244444444444444,0.7795555555555556
172,redirect,32184,Stack Overflow,-3.5181508000000004,10.649393,Computer Science,blue,125,1.7222222222222223,0.7777777777777777
173,curl,31410,Stack Overflow,11.046766,0.8162273,Computer Science,blue,126,1.72,0.776
175,unity3d,31113,Stack Overflow,1.8861880000000002,-2.1459591000000002,Computer Science,blue,127,1.7177777777777776,0.7742222222222224
177,asynchronous,30950,Stack Overflow,13.115210999999999,-8.563198,Computer Science,blue,128,1.7155555555555555,0.7724444444444445
178,inheritance,30859,Stack Overflow,-6.575143300000001,-5.10077,Computer Science,blue,129,1.7133333333333334,0.7706666666666666
180,exception,30492,Stack Overflow,0.82430524,-3.4094192999999997,Computer Science,blue,130,1.7111111111111112,0.768888888888889
181,testing,30456,Stack Overflow,16.914381,0.9590094000000001,Computer Science,blue,131,1.708888888888889,0.7671111111111111
182,events,30167,Stack Overflow,5.5605626,9.133602,Computer Science,blue,132,1.7066666666666666,0.7653333333333334
183,opengl,30165,Stack Overflow,10.789857000000001,-13.179526000000001,Computer Science,blue,133,1.7044444444444444,0.7635555555555555
184,xslt,29978,Stack Overflow,9.18021,-11.989186,Computer Science,blue,134,1.7022222222222223,0.7617777777777779
185,nginx,29962,Stack Overflow,0.4206438,-0.96791255,Computer Science,blue,135,1.7,0.76
186,caching,29941,Stack Overflow,6.358121,-3.4075053,Computer Science,blue,136,1.6977777777777778,0.7582222222222224
188,servlets,29673,Stack Overflow,6.844937299999999,-7.543129400000001,Computer Science,blue,137,1.6955555555555555,0.7564444444444445
189,post,29664,Stack Overflow,3.9986303,5.081853,Computer Science,blue,138,1.6933333333333334,0.7546666666666668
190,math,29532,Stack Overflow,20.994304999999997,-4.1552224,Computer Science,blue,139,1.6911111111111112,0.7528888888888889
191,dom,29432,Stack Overflow,3.7186532,-8.808952,Computer Science,blue,140,1.6888888888888889,0.7511111111111111
194,iis,29341,Stack Overflow,8.27143,-5.459336799999999,Computer Science,blue,141,1.6866666666666665,0.7493333333333334
195,select,29314,Stack Overflow,-2.9146109,12.154805,Computer Science,blue,142,1.6844444444444444,0.7475555555555555
197,join,29173,Stack Overflow,-3.081464,11.9054985,Computer Science,blue,143,1.6822222222222223,0.7457777777777779
198,button,29122,Stack Overflow,11.760591,-0.95825833,Computer Science,blue,144,1.6800000000000002,0.744
200,recursion,29002,Stack Overflow,14.012986999999999,-3.0969273999999998,Computer Science,blue,145,1.6777777777777778,0.7422222222222223
201,search,28800,Stack Overflow,6.6893270000000005,-2.3609564,Computer Science,blue,146,1.6755555555555555,0.7404444444444445
202,gcc,28687,Stack Overflow,-8.57237,6.746474,Computer Science,blue,147,1.6733333333333333,0.7386666666666666
203,go,28231,Stack Overflow,-3.8909314,11.659289999999999,Computer Science,blue,148,1.6711111111111112,0.7368888888888889
206,jenkins,27847,Stack Overflow,0.23406918,-5.1779504,Computer Science,blue,149,1.6688888888888889,0.735111111111111
0,macroeconomics,1238,Economics,12.270044,5.644631400000001,Economics,orange,150,1.6666666666666665,0.7333333333333334
1,microeconomics,1029,Economics,12.267544000000001,5.6419044000000005,Economics,orange,151,1.6644444444444444,0.7315555555555555
0,cognitive-psychology,925,Psychology & Neuroscience,1.2221243,5.726158,Psychology & Neuroscience,green,152,1.6622222222222223,0.7297777777777779
1,social-psychology,581,Psychology & Neuroscience,2.277125,1.5798024,Psychology & Neuroscience,green,153,1.6600000000000001,0.728
2,neuroscience,534,Psychology & Neuroscience,-7.4813333,-11.824926,Psychology & Neuroscience,green,154,1.6577777777777778,0.7262222222222223
2,econometrics,456,Economics,-14.137017000000002,-6.293023000000001,Economics,orange,155,1.6555555555555554,0.7244444444444444
3,cognitive-neuroscience,350,Psychology & Neuroscience,-0.07703279,4.811488,Psychology & Neuroscience,green,156,1.6533333333333333,0.7226666666666668
4,perception,347,Psychology & Neuroscience,10.129956,9.898117,Psychology & Neuroscience,green,157,1.6511111111111112,0.7208888888888889
5,emotion,306,Psychology & Neuroscience,5.83635,15.261326,Psychology & Neuroscience,green,158,1.6488888888888888,0.7191111111111113
6,learning,292,Psychology & Neuroscience,0.11174436,-11.780152000000001,Psychology & Neuroscience,green,159,1.6466666666666665,0.7173333333333334
5,game-theory,288,Economics,-11.1915245,-1.5861769,Economics,orange,160,1.6444444444444444,0.7155555555555555
7,memory,278,Psychology & Neuroscience,6.277042400000001,3.3402677000000005,Psychology & Neuroscience,green,161,1.6422222222222222,0.7137777777777778
8,measurement,275,Psychology & Neuroscience,16.250517000000002,0.16278774,Psychology & Neuroscience,green,162,1.6400000000000001,0.712
10,personality,262,Psychology & Neuroscience,7.3117633,15.267338,Psychology & Neuroscience,green,163,1.6377777777777778,0.7102222222222223
6,utility,246,Economics,-19.369167,4.633725599999999,Economics,orange,164,1.6355555555555554,0.7084444444444444
12,terminology,218,Psychology & Neuroscience,6.03622,-20.433651,Psychology & Neuroscience,green,165,1.6333333333333333,0.7066666666666668
13,methodology,217,Psychology & Neuroscience,7.127203,-19.868341,Psychology & Neuroscience,green,166,1.6311111111111112,0.7048888888888889
7,inflation,216,Economics,-13.951039999999999,7.516733,Economics,orange,167,1.628888888888889,0.7031111111111112
8,supply-and-demand,215,Economics,-9.627157,4.135139499999999,Economics,orange,168,1.6266666666666667,0.7013333333333334
16,vision,199,Psychology & Neuroscience,10.39305,8.335894,Psychology & Neuroscience,green,169,1.6244444444444444,0.6995555555555556
10,gdp,192,Economics,-14.205891000000001,6.936434700000001,Economics,orange,170,1.6222222222222222,0.6977777777777778
11,consumer-theory,187,Economics,-4.125877,0.94109887,Economics,orange,171,1.62,0.6960000000000001
12,finance,181,Economics,-12.925091,12.306026,Economics,orange,172,1.6177777777777778,0.6942222222222223
17,intelligence,180,Psychology & Neuroscience,9.1622095,14.804513,Psychology & Neuroscience,green,173,1.6155555555555554,0.6924444444444445
13,currency,179,Economics,-12.994529,10.121446,Economics,orange,174,1.6133333333333333,0.6906666666666668
14,monetary-policy,178,Economics,-10.129187,6.80408,Economics,orange,175,1.6111111111111112,0.6888888888888889
16,economic-growth,170,Economics,-4.0018005,6.978812,Economics,orange,176,1.608888888888889,0.6871111111111112
15,interest-rate,170,Economics,-13.616079999999998,8.619447000000001,Economics,orange,177,1.6066666666666667,0.6853333333333333
19,motivation,160,Psychology & Neuroscience,7.4235716,13.540668,Psychology & Neuroscience,green,178,1.6044444444444443,0.6835555555555557
17,international-trade,158,Economics,-4.716246,3.8656794999999997,Economics,orange,179,1.6022222222222222,0.6817777777777778
19,elasticity,130,Economics,-9.053692,10.9468155,Economics,orange,180,1.6,0.6799999999999999
20,taxation,127,Economics,-10.429806,13.012063000000001,Economics,orange,181,1.5977777777777777,0.6782222222222223
21,stock-market,124,Economics,-11.143651,7.921911,Economics,orange,182,1.5955555555555554,0.6764444444444444
22,banking,123,Economics,-13.612739999999999,11.880557000000001,Economics,orange,183,1.5933333333333333,0.6746666666666667
24,money-supply,120,Economics,-7.282497,4.241585,Economics,orange,184,1.5911111111111111,0.6728888888888889
22,eeg,119,Psychology & Neuroscience,-10.41044,-14.808988000000001,Psychology & Neuroscience,green,185,1.588888888888889,0.6711111111111111
25,preferences,119,Economics,13.006330499999999,11.420357000000001,Economics,orange,186,1.5866666666666667,0.6693333333333333
23,decision-making,116,Psychology & Neuroscience,-9.345502,-2.9725769,Psychology & Neuroscience,green,187,1.5844444444444443,0.6675555555555556
26,production-function,113,Economics,-8.760282,4.010636,Economics,orange,188,1.5822222222222222,0.6657777777777778
24,sleep,113,Psychology & Neuroscience,4.8795033,17.53602,Psychology & Neuroscience,green,189,1.58,0.664
25,consciousness,113,Psychology & Neuroscience,9.871915,9.809166000000001,Psychology & Neuroscience,green,190,1.5777777777777777,0.6622222222222223
26,clinical-psychology,112,Psychology & Neuroscience,-1.5924816000000002,4.789296,Psychology & Neuroscience,green,191,1.5755555555555556,0.6604444444444445
27,bias,111,Psychology & Neuroscience,-14.490908,2.5579624,Psychology & Neuroscience,green,192,1.5733333333333333,0.6586666666666667
28,neural-network,110,Psychology & Neuroscience,-10.357703,-1.3493536,Psychology & Neuroscience,green,193,1.5711111111111111,0.656888888888889
29,language,107,Psychology & Neuroscience,19.853937,-5.100963,Psychology & Neuroscience,green,194,1.568888888888889,0.6551111111111112
30,statistics,104,Psychology & Neuroscience,-16.261127,-9.193315,Psychology & Neuroscience,green,195,1.5666666666666667,0.6533333333333333
28,general-equilibrium,104,Economics,-13.6612215,-0.82035035,Economics,orange,196,1.5644444444444443,0.6515555555555557
31,test,101,Psychology & Neuroscience,17.011988,1.0793177999999999,Psychology & Neuroscience,green,197,1.5622222222222222,0.6497777777777778
29,statistics,97,Economics,-16.261494,-9.192774,Economics,orange,198,1.56,0.6480000000000001
32,dreams,96,Psychology & Neuroscience,6.395879,9.116951,Psychology & Neuroscience,green,199,1.557777777777778,0.6462222222222223
33,performance,94,Psychology & Neuroscience,13.535182,16.292046,Psychology & Neuroscience,green,200,1.5555555555555556,0.6444444444444444
30,time-series,94,Economics,-18.241756,14.001338,Economics,orange,201,1.5533333333333332,0.6426666666666667
31,international-economics,93,Economics,-0.48381236,3.3865833,Economics,orange,202,1.551111111111111,0.6408888888888888
34,neurophysiology,92,Psychology & Neuroscience,-9.249483,-12.443831,Psychology & Neuroscience,green,203,1.548888888888889,0.6391111111111112
32,central-banking,92,Economics,-2.54136,4.701389,Economics,orange,204,1.5466666666666666,0.6373333333333333
34,investment,90,Economics,-12.13115,12.247278999999999,Economics,orange,205,1.5444444444444443,0.6355555555555555
35,psychiatry,86,Psychology & Neuroscience,6.315047,5.3635135,Psychology & Neuroscience,green,206,1.5422222222222222,0.6337777777777778
36,money,84,Economics,-11.260762,9.563564,Economics,orange,207,1.54,0.632
37,regression,81,Economics,-18.768477999999998,14.979904999999999,Economics,orange,208,1.537777777777778,0.6302222222222222
36,neuroimaging,81,Psychology & Neuroscience,-9.514221000000001,-13.847816,Psychology & Neuroscience,green,209,1.5355555555555556,0.6284444444444445
38,debt,81,Economics,-12.073588,10.952088999999999,Economics,orange,210,1.5333333333333332,0.6266666666666667
40,optimization,78,Economics,14.980110999999999,-4.704011,Economics,orange,211,1.531111111111111,0.6248888888888889
38,psychology,78,Psychology & Neuroscience,8.199682000000001,5.3138847,Psychology & Neuroscience,green,212,1.528888888888889,0.6231111111111112
41,attention,75,Psychology & Neuroscience,-2.6743348,-13.947144,Psychology & Neuroscience,green,213,1.5266666666666666,0.6213333333333334
42,sexuality,74,Psychology & Neuroscience,3.7901297,6.8989,Psychology & Neuroscience,green,214,1.5244444444444445,0.6195555555555556
43,depression,72,Psychology & Neuroscience,1.1740365,17.530453,Psychology & Neuroscience,green,215,1.5222222222222221,0.6177777777777778
43,monopoly,72,Economics,-17.225117,0.041143663,Economics,orange,216,1.52,0.6160000000000001
44,markets,72,Economics,-18.572779999999998,9.449423,Economics,orange,217,1.517777777777778,0.6142222222222222
45,asset-pricing,71,Economics,-13.418337,-0.47581866,Economics,orange,218,1.5155555555555555,0.6124444444444446
45,neuroanatomy,67,Psychology & Neuroscience,-9.598187,-12.309389999999999,Psychology & Neuroscience,green,219,1.5133333333333332,0.6106666666666667
46,unemployment,67,Economics,-9.267855,15.617798,Economics,orange,220,1.511111111111111,0.6088888888888889
44,behaviorism,67,Psychology & Neuroscience,-3.7652782999999994,-6.016618299999999,Psychology & Neuroscience,green,221,1.508888888888889,0.6071111111111112
47,behavioral-economics,66,Economics,-5.4221907,0.6564399999999999,Economics,orange,222,1.5066666666666668,0.6053333333333333
46,sensation,65,Psychology & Neuroscience,4.1539226000000005,13.821701000000001,Psychology & Neuroscience,green,223,1.5044444444444445,0.6035555555555556
48,inequality,64,Economics,-9.276564,16.263002,Economics,orange,224,1.5022222222222221,0.6017777777777777
47,behavior,63,Psychology & Neuroscience,13.112520000000002,11.372477,Psychology & Neuroscience,green,225,1.5,0.6000000000000001
48,evolution,63,Psychology & Neuroscience,1.916565,-5.059951,Psychology & Neuroscience,green,226,1.4977777777777779,0.5982222222222222
49,nash-equilibrium,62,Economics,-9.234005,1.1131501,Economics,orange,227,1.4955555555555555,0.5964444444444444
50,self-study,61,Economics,0.11730167,-9.703392,Economics,orange,228,1.4933333333333334,0.5946666666666667
51,decision-theory,58,Economics,-7.10694,1.4611871,Economics,orange,229,1.491111111111111,0.5928888888888889
49,fmri,57,Psychology & Neuroscience,-10.307431,-14.7774725,Psychology & Neuroscience,green,230,1.488888888888889,0.5911111111111111
50,physiology,57,Psychology & Neuroscience,-9.5328865,-11.342195,Psychology & Neuroscience,green,231,1.4866666666666668,0.5893333333333334
52,expected-utility,57,Economics,-12.014785,2.9741802,Economics,orange,232,1.4844444444444445,0.5875555555555556
53,price,57,Economics,-16.05425,7.446853,Economics,orange,233,1.482222222222222,0.5857777777777778
56,cost,56,Economics,-17.830025,5.012946,Economics,orange,234,1.48,0.5840000000000001
55,pareto-efficiency,56,Economics,-7.4827447,4.791735,Economics,orange,235,1.4777777777777779,0.5822222222222222
51,motor,55,Psychology & Neuroscience,6.8636045,2.0309725,Psychology & Neuroscience,green,236,1.4755555555555555,0.5804444444444445
57,wages,55,Economics,-8.870536,14.238763,Economics,orange,237,1.4733333333333334,0.5786666666666667
