,tag,count,class,tsne_0,tsne_1
238,attraction,7,Psychology & Neuroscience,-9.830764,9.89953
239,awareness,6,Psychology & Neuroscience,-14.264294,9.175015
240,workload,6,Psychology & Neuroscience,3.62489,6.88567
241,medication,6,Psychology & Neuroscience,-6.7197886,-14.437417
242,meta-analysis,6,Psychology & Neuroscience,0.0941025,-14.596982
244,publication,6,Psychology & Neuroscience,-2.5675943,6.08724
245,psychoacoustics,6,Psychology & Neuroscience,-2.7187395,-1.4932163
246,encoding,6,Psychology & Neuroscience,-11.488186,-4.6902165
247,devices,6,Psychology & Neuroscience,7.4122543,6.911213
249,transfer,6,Psychology & Neuroscience,6.341596,-2.867641
251,mnemonic,6,Psychology & Neuroscience,-10.513353,-4.2907333
252,ltp,5,Psychology & Neuroscience,12.932132,9.859227
253,free-will,5,Psychology & Neuroscience,-5.6081,3.5646098
254,altruism,5,Psychology & Neuroscience,-10.635696,6.0930295
256,goals,5,Psychology & Neuroscience,-11.868683,7.521126
258,twin-study,5,Psychology & Neuroscience,-1.66309,0.1288843
259,ethics,5,Psychology & Neuroscience,-1.3917915,15.776281
260,event-related-potential,5,Psychology & Neuroscience,3.7511177,0.63917005
262,freud,5,Psychology & Neuroscience,-5.5506363,13.46851
263,neuromarketing,5,Psychology & Neuroscience,-3.7104475,2.701692
264,qualia,5,Psychology & Neuroscience,-6.6205564,3.9931102
265,commitment,5,Psychology & Neuroscience,-12.190384,5.361163
266,willpower,5,Psychology & Neuroscience,-8.787798,5.7156305
267,meg,5,Psychology & Neuroscience,7.976565,-7.603245
268,situation-awareness,4,Psychology & Neuroscience,1.2239136,-1.2149427
269,social,4,Psychology & Neuroscience,-5.152174,2.7634287
270,collaboration,4,Psychology & Neuroscience,10.239753,-3.9456546
271,model,4,Psychology & Neuroscience,1.0574183,-18.000818
272,act-r,4,Psychology & Neuroscience,8.798172,0.61465925
273,multi-tasking,4,Psychology & Neuroscience,5.2752194,-2.2384248
275,diagnosis,4,Psychology & Neuroscience,0.9006577,-9.891779
276,biofeedback,4,Psychology & Neuroscience,-7.425593,-11.844072
277,alzheimer,4,Psychology & Neuroscience,12.084442,-9.077393
279,mirror-neurons,4,Psychology & Neuroscience,-0.06643367,0.1909103
280,body-language,4,Psychology & Neuroscience,-2.466495,-0.17210445
281,heart-rate-variability,3,Psychology & Neuroscience,-0.027394105,0.7215869
282,testosterone,3,Psychology & Neuroscience,11.405385,13.175207
283,eating-disorders,3,Psychology & Neuroscience,-0.0036539505,2.2276185
284,homework,3,Psychology & Neuroscience,-15.500396,-0.03204365
285,matlab,3,Psychology & Neuroscience,11.335016,-1.0302554
286,imagery,3,Psychology & Neuroscience,-10.386185,-3.6517127
287,anchoring,3,Psychology & Neuroscience,-7.277929,-1.3183191
288,trust,3,Psychology & Neuroscience,-11.980746,5.515503
290,p300,3,Psychology & Neuroscience,7.4628525,-5.482095
291,epilepsy,3,Psychology & Neuroscience,12.511519,-10.335744
292,oxytocin,3,Psychology & Neuroscience,11.719623,12.795919
293,nlp,3,Psychology & Neuroscience,9.145642,-0.28646216
294,neuroticism,3,Psychology & Neuroscience,-3.8304334,-7.151129
298,amnesia,3,Psychology & Neuroscience,-8.625443,-6.359503
299,extraversion,3,Psychology & Neuroscience,-3.817647,-7.079861
300,cbt,2,Psychology & Neuroscience,-10.286278,-12.951259
301,pathology,2,Psychology & Neuroscience,1.0187639,-9.305276
302,compulsive,2,Psychology & Neuroscience,-4.462118,-3.2461748
304,definition,2,Psychology & Neuroscience,5.3545456,5.009462
305,human-error,2,Psychology & Neuroscience,-0.53354365,-0.0005768649
306,ecg,2,Psychology & Neuroscience,6.5022025,-6.7062078
307,causal-inference,2,Psychology & Neuroscience,2.7940679,1.4129106
308,hippocampus,2,Psychology & Neuroscience,13.155575,9.535728
309,cognitive-load,2,Psychology & Neuroscience,4.321005,1.9754516
310,racism,2,Psychology & Neuroscience,-5.421153,8.513806
311,coordination,2,Psychology & Neuroscience,9.189394,-3.4917257
312,regression,2,Psychology & Neuroscience,10.395123,2.847242
314,halo-effect,2,Psychology & Neuroscience,0.64799017,-0.07573739
315,wisdom-of-crowds,2,Psychology & Neuroscience,0.6490767,2.3180976
316,ipip,2,Psychology & Neuroscience,-1.1351482,7.7875633
317,cueing,2,Psychology & Neuroscience,7.132788,12.372173
318,tdcs,2,Psychology & Neuroscience,5.1686497,15.821273
319,ego-depletion,2,Psychology & Neuroscience,2.0654743,9.186065
320,touch,2,Psychology & Neuroscience,7.162983,7.8057446
321,obedience,2,Psychology & Neuroscience,-9.771387,6.4880934
324,apa-style,2,Psychology & Neuroscience,-2.1748607,5.264522
325,sentiment-analysis,2,Psychology & Neuroscience,1.9144434,1.2190932
326,incentives,2,Psychology & Neuroscience,-12.161843,11.327654
327,nicotine,2,Psychology & Neuroscience,1.5121747,12.20332
328,vstm,1,Psychology & Neuroscience,-11.750961,-6.315947
329,interoception,1,Psychology & Neuroscience,-5.022379,-1.9908075
330,pnse,1,Psychology & Neuroscience,-0.10739246,-0.94407034
331,tappy,1,Psychology & Neuroscience,0.1338492,1.6414974
332,learned-helplessness,1,Psychology & Neuroscience,0.3044086,1.6127506
333,criminology,1,Psychology & Neuroscience,-2.124428,15.148791
334,terms,1,Psychology & Neuroscience,4.821198,0.28006402
335,criminal,1,Psychology & Neuroscience,1.6917981,6.111128
336,etiology,1,Psychology & Neuroscience,1.0274124,-9.350543
337,compliance,1,Psychology & Neuroscience,-8.676701,7.574513
338,olfaction,1,Psychology & Neuroscience,6.7729917,8.546966
339,violence,1,Psychology & Neuroscience,-6.957271,10.178945
340,ecog,1,Psychology & Neuroscience,6.6770034,-6.954323
341,temporal-context,1,Psychology & Neuroscience,2.7994094,0.189466
342,typing,1,Psychology & Neuroscience,5.487915,-1.7358154
343,evoked-potentials,1,Psychology & Neuroscience,0.5252848,0.84934664
344,risk-reward,1,Psychology & Neuroscience,2.6383545,4.4773073
346,adaptation,1,Psychology & Neuroscience,6.2988,0.563169
347,tinnitus,1,Psychology & Neuroscience,-5.7031827,-10.147525
